reviews__|	reviews__|__date	reviews__|__score	reviews__|__name	score_breakdown__Value for money	score_breakdown__Free WiFi	score_breakdown__Cleanliness	score_breakdown__Comfort	score_breakdown__Facilities	score_breakdown__Location	score_breakdown__Staff	score	name	location
R2	"Reviewed: January 5, 2019"	10	Yi										
R3	"Reviewed: December 29, 2018"	2.5	Samantha										
R8	"Reviewed: November 28, 2018"	9.2	Tristan										
R9	"Reviewed: November 27, 2018"	8.3	Ginggoppy										
R89	"Reviewed: December 6, 2018"	7.5	Hooi										
R78	"Reviewed: March 17, 2019"	7.5	Kit										
R35													
R81	"Reviewed: February 24, 2019"	7.1	Rose										
R80	"Reviewed: February 25, 2019"	7.5	Rose										
R83	"Reviewed: January 12, 2019"	10	James										
R82	"Reviewed: February 4, 2019"	8.8	Yong										
R85	"Reviewed: December 29, 2018"	8.3	Sheng										
R84	"Reviewed: January 3, 2019"	5.4	Terence										
R87	"Reviewed: December 21, 2018"	8.3	J										
R86	"Reviewed: December 24, 2018"	8.8	Felix										
R79	"Reviewed: March 8, 2019"	10	Naurin										
R45													
R44	"Reviewed: March 8, 2018"	8.8	Mark										
R47	"Reviewed: February 7, 2018"	9.2	Paola										
R46	"Reviewed: February 16, 2018"	7.5	Wolf Mathes										
R41	"Reviewed: March 19, 2018"	7.5	Wasagabears										
R40	"Reviewed: March 30, 2018"	9.2	Tak										
R43	"Reviewed: March 15, 2018"	6.7	Evelyn										
R42	"Reviewed: March 19, 2018"	9.2	Nguyen										
R33	"Reviewed: May 8, 2018"	7.5	Victor										
R49	"Reviewed: February 5, 2018"	6.7	Rob Marq										
R48	"Reviewed: February 6, 2018"	9.2	LindaGerry										
R98	"Reviewed: November 13, 2018"	10	Anonymous										
R99	"Reviewed: October 1, 2018"	9.2	Claudio										
R96	"Reviewed: November 14, 2018"	7.5	David										
R97													
R94	"Reviewed: November 24, 2018"	7.9	Ng										
R95	"Reviewed: November 14, 2018"	6.3	Bhaskar										
R92	"Reviewed: November 25, 2018"	7.5	Thi+thu+ha										
R93	"Reviewed: November 25, 2018"	7.5	Thi										
R90	"Reviewed: December 2, 2018"	9.6	Tracy										
R91	"Reviewed: November 27, 2018"	7.1	Peter										
R16	"Reviewed: August 13, 2018"	9.6	Kevin E Murphy										
R17	"Reviewed: August 8, 2018"	8.3	Anonymous										
R14	"Reviewed: September 23, 2018"	8.8	Kenneth										
R15	"Reviewed: September 3, 2018"	7.5	Huang										
R12	"Reviewed: November 19, 2018"	6.3	Mikasa										
R13	"Reviewed: November 2, 2018"	10	Dan										
R10	"Reviewed: November 25, 2018"	10	Michael										
R11													
R18	"Reviewed: August 5, 2018"	6.7	Anjie										
R19	"Reviewed: August 1, 2018"	10	Anonymous										
R58	"Reviewed: December 27, 2017"	10	Sally-ann										
R59	"Reviewed: December 23, 2017"	6.7	Phil										
R52	"Reviewed: January 24, 2018"	9.2	Peter										
R53													
R50	"Reviewed: February 4, 2018"	10	Salome										
R51													
R56	"Reviewed: January 7, 2018"	6.7	Sonny										
R57	"Reviewed: January 1, 2018"	5.8	Roberttoo1972										
R54	"Reviewed: January 20, 2018"	9.2	Rong										
R55	"Reviewed: January 19, 2018"	8.3	Mariusz										
R29	"Reviewed: June 9, 2018"	9.2	Anonymous										
R28	"Reviewed: June 27, 2018"	8.3	Lai										
R25	"Reviewed: July 9, 2018"	3.8	Anonymous										
R24	"Reviewed: July 14, 2018"	10	Anonymous										
R88	"Reviewed: December 19, 2018"	8.8	Coliw2018										
R63	"Reviewed: November 27, 2017"	9.2	Ron										
R62	"Reviewed: November 27, 2017"	8.8	Brenda										
R61	"Reviewed: December 6, 2017"	10	Stuart										
R60	"Reviewed: December 20, 2017"	7.9	smimoh										
R67	"Reviewed: October 30, 2017"	10	Denise										
R66	"Reviewed: November 15, 2017"	10	Anonymous										
R65													
R64	"Reviewed: November 16, 2017"	7.1	Erlinda										
R27	"Reviewed: June 29, 2018"	10	G.B.M.										
R26	"Reviewed: July 8, 2018"	8.3	Athauda										
R69													
R68	"Reviewed: October 29, 2017"	9.2	C__ng										
R23	"Reviewed: July 15, 2018"	9.6	Sandra										
R22	"Reviewed: July 17, 2018"	7.5	Robert										
R21	"Reviewed: July 21, 2018"	9.6	Anonymous										
R20	"Reviewed: July 27, 2018"	8.3	Melanie										
R100	"Reviewed: December 18, 2018"	9.6	Jose	7.1	5.8	7.6	7.4	6.9	8.4	7.8	7.5	 Montien Hotel Bangkok	"54 Surawongse Road, Bangrak, Bang Rak, 10500 Bangkok, Thailand"
R70	"Reviewed: May 23, 2017"	10	Martin										
R71	"Reviewed: April 26, 2017"	9.2	Greg										
R72	"Reviewed: April 18, 2019"	4.6	Chris										
R73	"Reviewed: April 5, 2019"	10	Harry										
R74	"Reviewed: April 1, 2019"	6.7	Jittakan										
R75	"Reviewed: March 29, 2019"	9.6	Narelle										
